trace_id	family_id	requested_bytes	live_count	allocation_calls_full_trace
3851	65ac0e2f2001d1807c5cbd6088ce6f20218842c33aaf16179785d0273d4f9682	72	1	1
3852	65ac0e2f2001d1807c5cbd6088ce6f20218842c33aaf16179785d0273d4f9682	72	1	1
3853	65ac0e2f2001d1807c5cbd6088ce6f20218842c33aaf16179785d0273d4f9682	72	1	1
3854	65ac0e2f2001d1807c5cbd6088ce6f20218842c33aaf16179785d0273d4f9682	72	1	1
3230	e6527c6c96efd30f776181ab2bfe350b313346e10cddc8f6393d4b138840be87	70	2	2
3212	e6527c6c96efd30f776181ab2bfe350b313346e10cddc8f6393d4b138840be87	67	11	11
204	096d438c37c9977fb6448fdba38a462e10644befdb233603dda487b12b40abdb	64	1	3
3198	e6527c6c96efd30f776181ab2bfe350b313346e10cddc8f6393d4b138840be87	64	1	1
3792	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	64	4	4
3826	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	64	8	43
90	6a36977ed237be23b5c72646586416b857d6e764b1e64b2b679be67623263e51	63	1	1
103	e6527c6c96efd30f776181ab2bfe350b313346e10cddc8f6393d4b138840be87	63	1	1
3316	e6527c6c96efd30f776181ab2bfe350b313346e10cddc8f6393d4b138840be87	63	1	1
3846	e6527c6c96efd30f776181ab2bfe350b313346e10cddc8f6393d4b138840be87	63	1	1
692	448d57f07b8d24653caaa7fcfbd057cbd5e5c181204020de3dc6065f866082f2	58	1	1
3527	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	56	7	1364
3808	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	48	3	3
3842	65ac0e2f2001d1807c5cbd6088ce6f20218842c33aaf16179785d0273d4f9682	48	1	1
56	448d57f07b8d24653caaa7fcfbd057cbd5e5c181204020de3dc6065f866082f2	46	1	1
119	448d57f07b8d24653caaa7fcfbd057cbd5e5c181204020de3dc6065f866082f2	46	1	1
136	448d57f07b8d24653caaa7fcfbd057cbd5e5c181204020de3dc6065f866082f2	46	1	1
601	448d57f07b8d24653caaa7fcfbd057cbd5e5c181204020de3dc6065f866082f2	46	1	1
618	448d57f07b8d24653caaa7fcfbd057cbd5e5c181204020de3dc6065f866082f2	46	1	1
3214	e6527c6c96efd30f776181ab2bfe350b313346e10cddc8f6393d4b138840be87	42	9	9
3807	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	40	5	8
3841	65ac0e2f2001d1807c5cbd6088ce6f20218842c33aaf16179785d0273d4f9682	40	1	1
3847	65ac0e2f2001d1807c5cbd6088ce6f20218842c33aaf16179785d0273d4f9682	40	1	1
3848	65ac0e2f2001d1807c5cbd6088ce6f20218842c33aaf16179785d0273d4f9682	40	1	1
3859	abff6880d426cbe59e117f65b0d3b12993eab626d9dae0e9bbdeed77b94a67d8	38	1	1
3312	72a1618b84e7906669afd846e812b5c566431a338b5eb393f621fc765cbd2142	35	1	1
42	fc2da8fba9e079d471b644a9b1c677eca407d7961f4c0267bb332715e144686d	32	1	1
575	714096c6affa162b7d3d534d211c6ec56d7d26ac8c89c0abdf71e05d7eb9cf3c	32	1	1
578	714096c6affa162b7d3d534d211c6ec56d7d26ac8c89c0abdf71e05d7eb9cf3c	32	1	1
3268	e6527c6c96efd30f776181ab2bfe350b313346e10cddc8f6393d4b138840be87	29	4	4
3206	e6527c6c96efd30f776181ab2bfe350b313346e10cddc8f6393d4b138840be87	26	4	4
574	714096c6affa162b7d3d534d211c6ec56d7d26ac8c89c0abdf71e05d7eb9cf3c	24	1	1
662	a92e83b7ec14ad03914f87b070dcbfb7304002d609f0051a5789758fad54d96c	24	1	1
3777	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	24	3	40
3803	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	24	3	10
3850	65ac0e2f2001d1807c5cbd6088ce6f20218842c33aaf16179785d0273d4f9682	16	1	1
584	abff6880d426cbe59e117f65b0d3b12993eab626d9dae0e9bbdeed77b94a67d8	15	1	1
664	35c9fc1afa0cb835d15a2ed0694b5d8770a0e152eb0cba4d4520c53bdeaed60d	10	1	1
3300	6aba15e778ac0d218533472f0ad16f18584049c46fb2edce793d5d49d7ad3c91	10	1	1
3303	c804bce6353a5d3ed5faf59b363a0aaf45beb4b4a1951da37ca86d6a87a16a0e	10	1	1
3305	c804bce6353a5d3ed5faf59b363a0aaf45beb4b4a1951da37ca86d6a87a16a0e	10	1	1
63	aa2e25fb273e51bd33deabaef4aa80e2d4ab109bc4874dba03c5b7a41d844811	9	1	1
101	e6527c6c96efd30f776181ab2bfe350b313346e10cddc8f6393d4b138840be87	9	1	1
147	e2ee98d8e68c51813bdd0b04b93112bb9034d0dfdeb354e00f9c04980120d117	9	1	1
3314	e6527c6c96efd30f776181ab2bfe350b313346e10cddc8f6393d4b138840be87	9	1	1
3844	e6527c6c96efd30f776181ab2bfe350b313346e10cddc8f6393d4b138840be87	9	1	1
248	096d438c37c9977fb6448fdba38a462e10644befdb233603dda487b12b40abdb	8	1	1
3202	e6527c6c96efd30f776181ab2bfe350b313346e10cddc8f6393d4b138840be87	8	1	1
3224	e6527c6c96efd30f776181ab2bfe350b313346e10cddc8f6393d4b138840be87	8	1	1
3308	c804bce6353a5d3ed5faf59b363a0aaf45beb4b4a1951da37ca86d6a87a16a0e	8	1	1
243	e0a1f669a6a35b4ebb54abaf67ecd4b3f3da3025a2f80473708d9061f1566cf2	7	1	1
3191	e6527c6c96efd30f776181ab2bfe350b313346e10cddc8f6393d4b138840be87	7	1	1
3228	e6527c6c96efd30f776181ab2bfe350b313346e10cddc8f6393d4b138840be87	6	3	3
25	549d2828f4bd60b6f928e9649aeef9539a53e8115de8c250dc64ff495cff50ca	4	1	1
675	b51e6746bd4ca6b62ff257da30b21741a7fcd117fbb9f3cd97329e437077d4b4	3	1	1
